province,in_price_panel,in_province_metadata,in_bps_snapshot,needs_review
Aceh,True,True,True,False
Bali,True,True,True,False
Banten,True,True,True,False
Bengkulu,True,True,True,False
DI Yogyakarta,True,True,True,False
DKI Jakarta,True,True,True,False
Gorontalo,True,True,True,False
Jambi,True,True,True,False
Jawa Barat,True,True,True,False
Jawa Tengah,True,True,True,False
Jawa Timur,True,True,True,False
Kalimantan Barat,True,True,True,False
Kalimantan Selatan,True,True,True,False
Kalimantan Tengah,True,True,True,False
Kalimantan Timur,True,True,True,False
Kalimantan Utara,True,True,True,False
Kepulauan Bangka Belitung,True,True,True,False
Kepulauan Riau,True,True,True,False
Lampung,True,True,True,False
Maluku,True,True,True,False
Maluku Utara,True,True,True,False
Nusa Tenggara Barat,True,True,True,False
Nusa Tenggara Timur,True,True,True,False
Papua,True,True,True,False
Papua Barat,True,True,True,False
Papua Barat Daya,True,True,True,False
Papua Pegunungan,True,True,True,False
Papua Selatan,True,True,True,False
Papua Tengah,True,True,True,False
Riau,True,True,True,False
Sulawesi Barat,True,True,True,False
Sulawesi Selatan,True,True,True,False
Sulawesi Tengah,True,True,True,False
Sulawesi Tenggara,True,True,True,False
Sulawesi Utara,True,True,True,False
Sumatera Barat,True,True,True,False
Sumatera Selatan,True,True,True,False
Sumatera Utara,True,True,True,False
