commodity,rows,non_missing,missing,mean_price,coverage_rate
Bawang Merah,1908,1903,5,37432.23962165003,0.9973794549266247
Bawang Putih (Bonggol),1908,1903,5,36012.11245401997,0.9973794549266247
Beras Medium,1908,1904,4,12499.369222689076,0.9979035639412998
Beras Premium,1908,1903,5,14294.21965317919,0.9973794549266247
Cabai Merah Keriting,1908,1902,6,49109.82281808623,0.9968553459119497
Cabai Rawit Merah,1908,1884,24,60894.64861995754,0.9874213836477987
Daging Ayam Ras,1908,1904,4,37699.153886554624,0.9979035639412998
Daging Sapi Murni,1908,1904,4,134908.60976890757,0.9979035639412998
Gula Pasir Lokal/Curah,1908,1904,4,15978.963760504203,0.9979035639412998
Minyak Goreng Curah,684,657,27,17024.43683409437,0.9605263157894737
Minyak Goreng Kemasan,1908,1900,8,18589.586315789475,0.9958071278825996
Telur Ayam Ras,1908,1904,4,29400.063025210085,0.9979035639412998
