feature,importance
commodity_month_mean,0.05487472527596748
commodity_month_mean,0.04961158586519763
month_index,0.04037442308872285
rolling_std_12,0.03912425829785038
rolling_std_6,0.03670220655810501
return_lag_6,0.03578466644434802
month_num,0.0328159663620056
return_lag_12,0.030740041026861797
month_sin,0.02802597224262249
rolling_mean_12,0.027443657640264494
rolling_std_3,0.025946638924253577
momentum_6,0.0258618031360028
price_filled,0.025685702005388868
rolling_mean_3,0.02468078519502922
month_cos,0.0244675667855009
price_lag_12,0.023008204339735792
return_lag_1,0.022854570663594385
price_lag_1,0.022198591109507032
rolling_min_6,0.021554074621814908
rolling_max_6,0.02112988479832484
return_lag_3,0.020900224556068804
gap_to_national_commodity_mean,0.020821993455517825
rolling_mean_6,0.02078419506727287
rolling_max_3,0.020767192942150046
price_lag_3,0.020416205490551443
price_lag_6,0.0199173570842837
rolling_min_3,0.019586209164343275
momentum_3,0.018796810267496276
return_lag_2,0.018212001540331656
price_lag_2,0.017715061095906794
volatility_ratio_3_12,0.016047169145454617
precip_sum,0.013667542693718343
province_month_mean,0.013204485769401744
province_month_mean,0.012838175526015377
province_code,0.0113883168274826
precip_anomaly,0.011229846618012936
price_rank_in_commodity_month,0.011062342589876832
temp_max_mean,0.010993592584950378
temp_mean,0.010497520841463886
temp_min_mean,0.010017928742108589
year_num,0.00937990693485137
rainy_days,0.00915615335322405
is_ramadan_eid_window,0.006740232489391921
is_mid_year_window,0.006440074965911636
is_year_end_window,0.005684203836358715
commodity_daging_sapi_murni,0.0032680641160268325
commodity_telur_ayam_ras,0.0031165227954394227
commodity_bawang_merah,0.003071720431040206
commodity_daging_ayam_ras,0.00304564577075838
commodity_bawang_putih_bonggol,0.002938932758655061
commodity_minyak_goreng_kemasan,0.002402871655766192
commodity_cabai_merah_keriting,0.0019434129797464407
commodity_cabai_rawit_merah,0.0018473803919519239
commodity_beras_premium,0.0018338579090827636
commodity_gula_pasir_lokal_curah,0.0014845180921994525
commodity_beras_medium,0.0008714911661729585
province_papua_barat,0.000578803615009765
province_papua,0.0004308891118482847
province_gorontalo,0.0003056621358898921
province_kepulauan_riau,0.0002718271916783139
province_nusa_tenggara_timur,0.00023934406512451508
province_sulawesi_tenggara,0.00023330695006984302
province_kalimantan_timur,0.0002082827229152872
province_kalimantan_utara,0.00019261561866081486
province_sulawesi_tengah,0.000167660196151807
province_kalimantan_barat,0.00015766442356502964
province_sulawesi_barat,0.00015486364395871443
province_dki_jakarta,0.00014367226801228735
province_sulawesi_utara,0.00011713445599390307
province_maluku_utara,0.00011618710317581718
province_kepulauan_bangka_belitung,0.00011511463574923763
province_sumatera_utara,0.00011490437778882081
province_bali,0.00011287996782260973
province_sumatera_selatan,0.00010959449982622259
province_kalimantan_tengah,0.00010774567419694712
province_sulawesi_selatan,0.00010619455299232006
province_kalimantan_selatan,0.00010425496920780885
province_jambi,9.540707342961282e-05
province_maluku,9.318377579733632e-05
province_sumatera_barat,9.084568667582086e-05
province_aceh,9.052011515418153e-05
province_nusa_tenggara_barat,8.873926769698865e-05
province_riau,7.115817349021385e-05
province_banten,6.995413342044796e-05
province_jawa_barat,6.781043854792422e-05
province_di_yogyakarta,6.334346587809505e-05
province_bengkulu,5.906135122074175e-05
province_lampung,5.5880471035297586e-05
province_jawa_timur,5.493584745017472e-05
province_jawa_tengah,2.3067967243821456e-05
price_missing,1.3004023237770331e-05
commodity_minyak_goreng_curah,0.0
province_papua_tengah,0.0
province_papua_selatan,0.0
province_papua_pegunungan,0.0
province_papua_barat_daya,0.0
