feature,importance_mean,importance_std
rolling_std_12,0.1050431709320703,0.009614185715789408
commodity_month_mean,0.09626089056593667,0.015270117913076788
commodity_month_mean,0.09626089056593667,0.015270117913076788
rolling_std_6,0.06059953476793918,0.009026238888465715
gap_to_national_commodity_mean,0.03774560826850502,0.00439969308669091
province_code,0.03500542293424187,0.0038748580678307407
return_lag_6,0.022594520283486942,0.0030545865935762417
temp_min_mean,0.01174691755244146,0.003312672534166206
commodity_telur_ayam_ras,0.010151035129836682,0.0018972062212835221
rolling_min_6,0.00947964468602025,0.005870993765346134
month_cos,0.008318184652518634,0.002996534626726149
commodity_daging_ayam_ras,0.006282844600977877,0.0012885181049813123
return_lag_2,0.00517881481733753,0.0022256633658627517
rolling_std_3,0.004846805344288141,0.0016053254035259597
temp_mean,0.004328492366600711,0.0026112612416025116
return_lag_1,0.004291749754919016,0.005324620407851075
rolling_mean_12,0.004198049986902719,0.0026589128105358713
price_lag_3,0.004115920259386718,0.000945271504739805
volatility_ratio_3_12,0.0030971388445588666,0.0020126374880732024
rolling_max_6,0.00286029120833593,0.0016039736834585901
price_lag_6,0.0024980081516862594,0.0009948704505497313
rolling_max_3,0.0024179942100113873,0.0006871467029664832
commodity_minyak_goreng_kemasan,0.0023022509445246976,0.002863893183738943
province_jawa_timur,0.002070299037651191,0.00043320933506114196
rolling_mean_3,0.0015525192284568724,0.0008246770565941301
province_month_mean,0.0015445214772394245,0.003484633076463794
province_month_mean,0.0015445214772394245,0.003484633076463794
province_kalimantan_timur,0.0011214508245315446,0.0016136202229022228
price_rank_in_commodity_month,0.0009775513027308058,0.0008646730040268833
commodity_cabai_rawit_merah,0.0009323388108565256,0.00034780758999008717
province_sulawesi_barat,0.0007913391145944581,0.0011978298393947328
momentum_3,0.0007244156350062703,0.0019066004850910147
province_gorontalo,0.0005492286066884234,0.0009278273840108054
price_filled,0.00040937917913357323,0.0026417408323940123
rolling_min_3,0.00018403138412912413,0.00048681700322356054
price_missing,0.0001775445449411439,0.00013414927247635462
province_kalimantan_utara,0.00011666953390154777,3.3077748222591424e-05
province_kepulauan_riau,9.58143523245747e-05,0.00028534579400226086
province_kalimantan_tengah,1.959942288800587e-05,0.00017791380822528355
province_sulawesi_tenggara,0.0,0.0
year_num,0.0,0.0
month_index,0.0,0.0
province_papua_barat_daya,0.0,0.0
province_papua,0.0,0.0
province_papua_tengah,0.0,0.0
province_papua_selatan,0.0,0.0
province_riau,0.0,0.0
province_papua_pegunungan,0.0,0.0
province_sumatera_utara,0.0,0.0
province_banten,0.0,0.0
province_di_yogyakarta,0.0,0.0
province_bali,0.0,0.0
province_lampung,0.0,0.0
province_jawa_tengah,0.0,0.0
province_kalimantan_selatan,0.0,0.0
province_maluku_utara,0.0,0.0
province_kalimantan_barat,0.0,0.0
province_bengkulu,0.0,0.0
province_aceh,0.0,0.0
commodity_minyak_goreng_curah,0.0,0.0
commodity_beras_medium,0.0,0.0
commodity_daging_sapi_murni,0.0,0.0
is_mid_year_window,0.0,0.0
is_year_end_window,0.0,0.0
province_sumatera_selatan,0.0,0.0
province_sulawesi_utara,0.0,0.0
province_nusa_tenggara_timur,0.0,0.0
province_jawa_barat,0.0,0.0
province_nusa_tenggara_barat,0.0,0.0
province_maluku,0.0,0.0
province_dki_jakarta,-3.391796834129046e-05,0.00013303596060492223
precip_anomaly,-4.4744282446895764e-05,0.0012467830727197887
province_sumatera_barat,-5.908300840911096e-05,5.627111291117391e-05
province_kepulauan_bangka_belitung,-9.868556315584254e-05,0.00032772080564240114
commodity_beras_premium,-0.0001713034846553274,0.0001410028701583181
price_lag_12,-0.00017692183487107993,0.002120254488709244
province_sulawesi_tengah,-0.00018844334379841676,0.00022550113954134828
commodity_gula_pasir_lokal_curah,-0.00026787841464226414,0.0005514642038986338
province_sulawesi_selatan,-0.00030007061161967384,0.0002357370341242207
province_papua_barat,-0.0003388383078588131,0.0004925868542618199
price_lag_2,-0.0005068245053516218,0.0011350902346676755
commodity_cabai_merah_keriting,-0.0006380960364742672,0.0006785222205785159
is_ramadan_eid_window,-0.0007622259287611399,0.0008755760979240969
province_jambi,-0.0009562500950569097,0.0008810083515267288
precip_sum,-0.000988289807092113,0.002363282154451388
momentum_6,-0.0010065657125292837,0.0018639632046292833
commodity_bawang_merah,-0.001051933234079283,0.0007215879833220929
rolling_mean_6,-0.0015433177838670043,0.0007494404631613149
month_sin,-0.0019408557836910756,0.0029334406275011563
commodity_bawang_putih_bonggol,-0.002272379938826741,0.0012921628690817782
rainy_days,-0.0025841086562208514,0.0021911687450661722
month_num,-0.003070118370861974,0.0005971986968539587
temp_max_mean,-0.003126628405298604,0.0016428342986960678
return_lag_3,-0.005342005898893909,0.0019341740329947316
price_lag_1,-0.005458576558751949,0.0017959506226927267
return_lag_12,-0.00719849369093768,0.006946673988156292
