horizon_months,model,mae,rmse,wmape
1,Persistence,2788.2189973614777,6906.339269061747,0.06480301698430391
1,MovingAverage3,3356.3194077982994,7671.797931352949,0.07800665004941303
1,Ridge,4255.687982474016,9090.15836121426,0.09890952642856846
1,RandomForest,3028.624349394597,7052.872129990924,0.0703904518757749
1,HistGradientBoosting,3357.2878728539017,7552.891738807984,0.07802915884714602
2,Persistence,3964.9042904290427,9020.877195436013,0.09194274377953077
2,MovingAverage3,4178.5678401173445,9318.919448827832,0.09689741899109579
2,Ridge,6664.639871897217,12743.892860183625,0.15454730587163382
2,RandomForest,4441.937658949459,8719.881401630168,0.10300474012633615
2,HistGradientBoosting,4609.500470566812,8748.600808485578,0.10689037860005703
